Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Fenies, Alix; Knote, Andreas; Bernard, David; Duthen, Yves; Lobjois, Valérie; Ducommun, Bernard; Von Mammen, Sebastian; Cussat-Blanc, Sylvain; ",Exploring multi-cellular tumor spheroids in virtual reality,,,,,2018,GSO: Cancéropôle Grand Sud-Ouest
"Bernard, David; Pascalie, Jonathan; Mondésert, Odile; Ducommun, Bernard; Duthen, Yves; Cussat-Blanc, Sylvain; Lobjois, Valérie; ",Optimization of synchronization experiments using a checkpoint-oriented cell cycle simulator,,,,,2018,TOW: Toulouse Onco Week
"Godin-Dubois, Kevin; Cussat-Blanc, Sylvain; Duthen, Yves; ",Beneficial Catastrophes: Leveraging Abiotic Constraints through Environment-Driven Evolutionary Selection,2020 IEEE Symposium Series on Computational Intelligence (SSCI),,,94-101,2020,IEEE
"Cussat-Blanc, Sylvain; Bernard, David; Planat-Bénard, Valérie; Coste, Agnès; Monsarrat, Paul; Kémoun, Philippe; Cousin, Béatrice; Casteilla, Louis; ",Theoretical inflammation model using ALife technics,Conference on Artificial Life (ALIFE 2019),31,,,2019,MIT Press
"Reshma, Ismat Ara; Cussat-Blanc, Sylvain; Ionescu, Radu Tudor; Luga, Hervé; Mothe, Josiane; ",Natural vs balanced distribution in deep learning on whole slide images for cancer detection,Proceedings of the 36th Annual ACM Symposium on Applied Computing,,,18-25,2021,
"Galibourg, Antoine; Cussat-Blanc, Sylvain; Dumoncel, Jean; Telmon, Norbert; Monsarrat, Paul; Maret, Delphine; ",Comparison of different machine learning approaches to predict dental age using Demirjian’s staging approach,International Journal of Legal Medicine,135,2,665-675,2021,Springer Berlin Heidelberg
"Moreira, Andreia; Croze, Myriam; Delehelle, Franklin; Cussat-Blanc, Sylvain; Luga, Hervé; Mollereau, Catherine; Balaresque, Patricia; ",Hearing sensitivity of primates: recurrent and episodic positive selection in hair cells and stereocilia protein-coding genes,Genome Biology and Evolution,13,8,evab133,2021,Oxford University Press
"Godin-Dubois, Kevin; Cussat-Blanc, Sylvain; Duthen, Yves; ",On the benefits of emergent communication for threat appraisal,Workshop presentation]. ABMHuB,21,,3rd,2021,
"Godin-Dubois, Kevin; Cussat-Blanc, Sylvain; Duthen, Yves; ",Spontaneous modular NeuroEvolution arising from a life/dinner paradox,ALIFE 2021: The 2021 Conference on Artificial Life,,,,2021,MIT Press
"Wilson, Dennis; Cussat-Blanc, Sylvain; Luga, Hervé; ",HAL Id: hal-01782552,,,,,,
"Bernard, David; Kobanda, Anthony; Cussat-Blanc, Sylvain; ",Simulating Cytotoxic T-Lymphocyte and Cancer Cells Interactions: An LSTM-Based Approach to Surrogate an Agent-Based Model,International Symposium on Mathematical and Computational Oncology,,,41-46,2021,Springer International Publishing Cham
